,zip,population,housing_units,occu_pct,own_occu_pct,median_home_val,median_rent,white_pct,black_pct,asian_pct,hisp_pct,college_pct,unemployment_pct,median_income
0,10001,22924,14141,87.9,26.2,343400.0,2065.0,62.9,6.2,25.2,14.2,68.0,3.2,88526.0
1,10002,74993,35724,93.9,13.3,665200.0,963.0,32.2,8.4,41.5,27.2,34.0,3.8,35859.0
2,10003,54682,30876,84.6,32.9,1001200.0,2298.0,75.9,5.8,13.5,8.2,80.2,3.8,112131.0
3,10004,3028,2139,77.6,38.3,1640600.0,3235.0,62.8,1.7,30.4,3.7,90.4,3.6,157645.0
4,10005,8831,5585,78.3,19.6,1415400.0,3226.0,73.4,2.5,17.0,6.9,88.4,2.8,173333.0
5,10006,3454,2343,76.6,17.1,1140400.0,3229.0,69.8,1.0,19.9,12.0,92.8,0.5,176250.0
6,10007,7023,3366,81.1,35.4,2000001.0,3394.0,77.2,4.7,11.8,8.3,80.0,1.9,246813.0
7,10009,57925,31293,95.0,6.3,608300.0,1642.0,61.8,9.4,13.0,24.8,59.5,2.6,61548.0
8,10010,33730,18535,88.4,28.4,788200.0,2590.0,73.2,5.3,17.4,11.0,78.4,2.9,117923.0
9,10011,50472,33707,86.4,37.6,964200.0,2115.0,79.9,5.6,9.2,11.3,78.8,2.8,128613.0
10,10012,23411,14052,85.7,18.0,1669400.0,2280.0,74.4,2.8,17.3,6.4,80.5,2.4,109037.0
11,10013,28709,14144,84.7,26.2,2000001.0,1571.0,55.6,4.4,33.3,6.0,61.6,2.4,105442.0
12,10014,30738,21531,84.7,32.4,1089100.0,2313.0,88.9,1.1,5.7,6.7,84.5,4.0,126601.0
13,10016,51057,34638,83.5,28.8,775800.0,2550.0,71.9,3.8,19.3,6.9,80.5,2.8,117004.0
14,10017,15801,12650,78.3,43.6,637300.0,2309.0,73.9,2.3,21.2,5.9,82.4,2.2,127506.0
15,10018,9687,5940,85.8,9.1,743600.0,3163.0,59.8,4.8,29.9,15.2,69.0,2.8,108914.0
16,10019,43703,33077,76.9,19.9,917700.0,2139.0,67.9,5.8,17.4,16.8,72.4,4.0,98833.0
17,10020,0,0,,,,,,,,,,,
18,10021,46215,30729,81.3,45.0,1238500.0,2149.0,82.3,0.9,9.4,7.9,80.7,1.4,118289.0
19,10022,31125,24206,74.6,52.4,928400.0,2514.0,83.6,1.4,12.2,5.4,82.9,1.7,135363.0
20,10023,62435,41492,81.2,41.8,1124500.0,2321.0,79.8,4.2,10.6,10.5,81.1,3.1,130452.0
21,10024,59001,34032,84.5,39.5,1540500.0,2174.0,83.1,3.9,7.2,10.9,80.7,1.9,131668.0
22,10025,92805,48359,86.7,28.7,1021400.0,1531.0,64.6,12.6,8.9,23.4,66.7,4.2,85930.0
23,10026,39363,17091,90.4,15.2,835000.0,1163.0,26.4,53.4,5.9,21.3,44.4,4.5,58884.0
24,10027,64548,26506,89.8,13.6,689200.0,1193.0,30.5,39.5,9.5,25.4,47.9,3.0,46113.0
25,10028,47793,28983,87.4,34.5,1218300.0,2329.0,86.2,1.3,9.6,7.4,83.2,2.0,125140.0
26,10029,79597,34108,92.9,6.8,693200.0,923.0,33.8,31.0,9.5,47.9,31.7,5.9,34016.0
27,10030,29882,13940,91.4,11.5,606500.0,988.0,16.9,63.1,2.1,25.6,30.3,7.9,37232.0
28,10031,60254,23802,92.3,12.5,417000.0,1365.0,29.7,29.8,3.9,51.4,35.9,4.8,49891.0
29,10032,64264,22574,94.0,8.2,499600.0,1219.0,29.8,19.3,4.7,66.3,31.1,5.7,50391.0
30,10033,59607,20794,94.5,10.5,495800.0,1412.0,40.5,10.4,2.2,68.5,36.3,6.4,58614.0
31,10034,42910,16650,96.7,9.3,342600.0,1330.0,38.4,11.6,3.1,69.7,34.0,5.2,54716.0
32,10035,35743,15531,92.9,8.3,592800.0,866.0,20.3,40.8,4.9,44.6,27.7,3.8,30081.0
33,10036,27428,19779,81.8,9.7,976900.0,2151.0,63.1,7.2,19.0,21.5,72.2,3.8,91936.0
34,10037,21139,10583,91.9,5.0,422100.0,1153.0,10.8,71.9,2.5,21.4,38.4,7.5,45041.0
35,10038,22800,11720,87.1,26.8,787400.0,2396.0,51.7,9.3,31.8,14.1,57.8,3.6,86058.0
36,10039,27726,11939,93.9,13.5,458900.0,931.0,13.1,61.9,1.6,33.8,30.4,8.7,39653.0
37,10040,44571,17282,93.6,10.4,394500.0,1362.0,36.1,9.8,3.0,69.5,34.7,6.6,47137.0
38,10044,11682,5427,87.5,19.7,692000.0,2520.0,45.5,12.2,33.9,13.3,62.8,3.4,100441.0
