,NTA,YEAR,Property_Count,pct_change
0,Airport,2011,1,
1,Airport,2012,1,0.0
2,Airport,2013,1,0.0
3,Airport,2014,1,0.0
4,Airport,2015,1,0.0
5,Airport,2016,1,0.0
6,Airport,2017,1,0.0
7,Airport,2018,1,0.0
8,Airport,2019,1,0.0
9,Allerton-Pelham Gardens,2011,5169,
10,Allerton-Pelham Gardens,2012,5178,0.17411491584444772
11,Allerton-Pelham Gardens,2013,5180,0.03862495171880198
12,Allerton-Pelham Gardens,2014,5186,0.11583011583011782
13,Allerton-Pelham Gardens,2015,5185,-0.019282684149635188
14,Allerton-Pelham Gardens,2016,5186,0.019286403085816417
15,Allerton-Pelham Gardens,2017,5190,0.07713073659854075
16,Allerton-Pelham Gardens,2018,5195,0.09633911368014392
17,Allerton-Pelham Gardens,2019,5202,0.13474494706449125
18,Annadale-Huguenot-Prince's Bay-Eltingville,2011,8086,
19,Annadale-Huguenot-Prince's Bay-Eltingville,2012,8099,0.1607717041800738
20,Annadale-Huguenot-Prince's Bay-Eltingville,2013,8125,0.32102728731941976
21,Annadale-Huguenot-Prince's Bay-Eltingville,2014,8153,0.34461538461538765
22,Annadale-Huguenot-Prince's Bay-Eltingville,2015,8190,0.4538206795044797
23,Annadale-Huguenot-Prince's Bay-Eltingville,2016,8221,0.37851037851037717
24,Annadale-Huguenot-Prince's Bay-Eltingville,2017,8254,0.40141102055710753
25,Annadale-Huguenot-Prince's Bay-Eltingville,2018,8304,0.6057669008965316
26,Annadale-Huguenot-Prince's Bay-Eltingville,2019,8335,0.3733140655105993
27,Arden Heights,2011,7531,
28,Arden Heights,2012,7548,0.22573363431150906
29,Arden Heights,2013,7635,1.152623211446735
30,Arden Heights,2014,7650,0.19646365422396617
31,Arden Heights,2015,7681,0.40522875816992876
32,Arden Heights,2016,7683,0.026038276266104887
33,Arden Heights,2017,7692,0.11714174150723178
34,Arden Heights,2018,7701,0.11700468018720489
35,Arden Heights,2019,7711,0.12985326580963186
36,Astoria,2011,6820,
37,Astoria,2012,6933,1.656891495601176
38,Astoria,2013,7090,2.2645319486513715
39,Astoria,2014,7117,0.380818053596621
40,Astoria,2015,7116,-0.014050864128145601
41,Astoria,2016,7112,-0.05621135469364713
42,Astoria,2017,7155,0.6046119235095571
43,Astoria,2018,7190,0.4891684136967056
44,Astoria,2019,7224,0.47287899860917193
45,Auburndale,2011,5161,
46,Auburndale,2012,5171,0.1937608990505657
47,Auburndale,2013,5202,0.5994971959002227
48,Auburndale,2014,5201,-0.019223375624755068
49,Auburndale,2015,5204,0.05768121515092872
50,Auburndale,2016,5207,0.057647963105300626
51,Auburndale,2017,5207,0.0
52,Auburndale,2018,5209,0.03840983291722999
53,Auburndale,2019,5209,0.0
54,Baisley Park,2011,7395,
55,Baisley Park,2012,7395,0.0
56,Baisley Park,2013,7410,0.20283975659229903
57,Baisley Park,2014,7414,0.05398110661267719
58,Baisley Park,2015,7416,0.02697599136767259
59,Baisley Park,2016,7416,0.0
60,Baisley Park,2017,7419,0.04045307443365509
61,Baisley Park,2018,7424,0.06739452756436837
62,Baisley Park,2019,7428,0.05387931034481763
63,Bath Beach,2011,4005,
64,Bath Beach,2012,4012,0.1747815230961347
65,Bath Beach,2013,4015,0.07477567298106447
66,Bath Beach,2014,4044,0.7222914072229081
67,Bath Beach,2015,4047,0.07418397626113293
68,Bath Beach,2016,4076,0.7165801828515006
69,Bath Beach,2017,4068,-0.19627085377821318
70,Bath Beach,2018,4076,0.1966568338249708
71,Bath Beach,2019,4076,0.0
72,Battery Park City-Lower Manhattan,2011,7882,
73,Battery Park City-Lower Manhattan,2012,8159,3.5143364628266838
74,Battery Park City-Lower Manhattan,2013,8237,0.9559995097438323
75,Battery Park City-Lower Manhattan,2014,8247,0.12140342357653822
76,Battery Park City-Lower Manhattan,2015,8238,-0.10913059294288541
77,Battery Park City-Lower Manhattan,2016,8263,0.3034717164360323
78,Battery Park City-Lower Manhattan,2017,8471,2.517245552462777
79,Battery Park City-Lower Manhattan,2018,8751,3.305394876637946
80,Battery Park City-Lower Manhattan,2019,8755,0.04570906182150836
81,Bay Ridge,2011,9811,
82,Bay Ridge,2012,9940,1.3148506778106306
83,Bay Ridge,2013,9966,0.2615694164989968
84,Bay Ridge,2014,9959,-0.07023881196066561
85,Bay Ridge,2015,10001,0.4217290892659875
86,Bay Ridge,2016,10012,0.10998900109988607
87,Bay Ridge,2017,10012,0.0
88,Bay Ridge,2018,10021,0.08989212944465752
89,Bay Ridge,2019,9989,-0.31932940824268563
90,Bayside-Bayside Hills,2011,10477,
91,Bayside-Bayside Hills,2012,10481,0.03817886799657444
92,Bayside-Bayside Hills,2013,10483,0.0190821486499404
93,Bayside-Bayside Hills,2014,10485,0.01907850806066591
94,Bayside-Bayside Hills,2015,10490,0.04768717215068996
95,Bayside-Bayside Hills,2016,10523,0.3145853193517567
96,Bayside-Bayside Hills,2017,10517,-0.057017960657612665
97,Bayside-Bayside Hills,2018,10525,0.07606731957783275
98,Bayside-Bayside Hills,2019,10542,0.16152019002375617
99,Bedford,2011,7700,
100,Bedford,2012,7914,2.77922077922077
101,Bedford,2013,7989,0.9476876421531388
102,Bedford,2014,8113,1.552134184503684
103,Bedford,2015,8252,1.7132996425490044
104,Bedford,2016,8325,0.8846340281144061
105,Bedford,2017,8411,1.0330330330330373
106,Bedford,2018,8480,0.82035429794316
107,Bedford,2019,8646,1.9575471698113134
108,Bedford Park-Fordham North,2011,1253,
109,Bedford Park-Fordham North,2012,1248,-0.3990422984836428
110,Bedford Park-Fordham North,2013,1251,0.24038461538462563
111,Bedford Park-Fordham North,2014,1248,-0.23980815347721673
112,Bedford Park-Fordham North,2015,1254,0.48076923076922906
113,Bedford Park-Fordham North,2016,1253,-0.07974481658692412
114,Bedford Park-Fordham North,2017,1255,0.15961691939345712
115,Bedford Park-Fordham North,2018,1255,0.0
116,Bedford Park-Fordham North,2019,1258,0.23904382470119057
117,Bellerose,2011,5486,
118,Bellerose,2012,5487,0.01822821728034718
119,Bellerose,2013,5486,-0.01822489520685311
120,Bellerose,2014,5488,0.03645643456069436
121,Bellerose,2015,5489,0.018221574344012836
122,Bellerose,2016,5491,0.03643650938240928
123,Bellerose,2017,5490,-0.018211619012931113
124,Bellerose,2018,5500,0.18214936247722413
125,Bellerose,2019,5504,0.07272727272726875
126,Belmont,2011,1040,
127,Belmont,2012,1039,-0.09615384615384581
128,Belmont,2013,1041,0.19249278152069227
129,Belmont,2014,1043,0.19212295869357465
130,Belmont,2015,1043,0.0
131,Belmont,2016,1043,0.0
132,Belmont,2017,1045,0.19175455417066445
133,Belmont,2018,1050,0.4784688995215225
134,Belmont,2019,1057,0.6666666666666599
135,Bensonhurst East,2011,7908,
136,Bensonhurst East,2012,8136,2.8831562974203306
137,Bensonhurst East,2013,8161,0.3072763028515224
138,Bensonhurst East,2014,8168,0.08577380223011577
139,Bensonhurst East,2015,8186,0.2203721841331996
140,Bensonhurst East,2016,8201,0.18323967749815928
141,Bensonhurst East,2017,8207,0.07316180953542695
142,Bensonhurst East,2018,8228,0.2558791275740324
143,Bensonhurst East,2019,8235,0.08507535245503295
144,Bensonhurst West,2011,10331,
145,Bensonhurst West,2012,10339,0.07743684057690547
146,Bensonhurst West,2013,10352,0.12573749879098983
147,Bensonhurst West,2014,10379,0.26081916537867844
148,Bensonhurst West,2015,10398,0.18306195201849285
149,Bensonhurst West,2016,10412,0.13464127716869
150,Bensonhurst West,2017,10452,0.38417210910488553
151,Bensonhurst West,2018,10490,0.3635667814772203
152,Bensonhurst West,2019,10542,0.4957102001906577
153,Borough Park,2011,12058,
154,Borough Park,2012,12139,0.6717531929009812
155,Borough Park,2013,12231,0.7578877996540001
156,Borough Park,2014,12280,0.40062137192380387
157,Borough Park,2015,12390,0.8957654723126929
158,Borough Park,2016,12465,0.6053268765133124
159,Borough Park,2017,12531,0.5294825511432011
160,Borough Park,2018,12697,1.3247147075253318
161,Borough Park,2019,12847,1.1813814286839364
162,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2011,4920,
163,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2012,4960,0.8130081300812941
164,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2013,4978,0.3629032258064546
165,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2014,4966,-0.24106066693451167
166,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2015,4958,-0.161095449053561
167,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2016,4963,0.1008471157724955
168,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2017,4980,0.3425347572032944
169,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2018,4978,-0.040160642570286065
170,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2019,4991,0.2611490558457108
171,Briarwood-Jamaica Hills,2011,3555,
172,Briarwood-Jamaica Hills,2012,3595,1.1251758087201136
173,Briarwood-Jamaica Hills,2013,3611,0.4450625869262925
174,Briarwood-Jamaica Hills,2014,3606,-0.1384657989476623
175,Briarwood-Jamaica Hills,2015,3737,3.6328341652800855
176,Briarwood-Jamaica Hills,2016,3735,-0.053518865400048465
177,Briarwood-Jamaica Hills,2017,3734,-0.02677376171351664
178,Briarwood-Jamaica Hills,2018,3733,-0.026780931976433386
179,Briarwood-Jamaica Hills,2019,3734,0.026788106080899432
180,Brighton Beach,2011,3522,
181,Brighton Beach,2012,3555,0.9369676320272635
182,Brighton Beach,2013,3598,1.2095639943741299
183,Brighton Beach,2014,3675,2.1400778210116655
184,Brighton Beach,2015,3682,0.19047619047618536
185,Brighton Beach,2016,3776,2.5529603476371454
186,Brighton Beach,2017,3844,1.8008474576271194
187,Brighton Beach,2018,3893,1.2747138397502633
188,Brighton Beach,2019,3901,0.2054970459799632
189,Bronxdale,2011,1609,
190,Bronxdale,2012,1619,0.621504039776255
191,Bronxdale,2013,1617,-0.12353304508956331
192,Bronxdale,2014,1618,0.061842918985766104
193,Bronxdale,2015,1621,0.1854140914709479
194,Bronxdale,2016,1624,0.18507094386182033
195,Bronxdale,2017,1624,0.0
196,Bronxdale,2018,1624,0.0
197,Bronxdale,2019,1625,0.06157635467980427
198,Brooklyn Heights-Cobble Hill,2011,2325,
199,Brooklyn Heights-Cobble Hill,2012,2327,0.08602150537635467
200,Brooklyn Heights-Cobble Hill,2013,2384,2.449505801461105
