zipcode,x,y
10474,1013353,234000
10474,1000091,156314
10474,979667,199737
11229,1013353,234000
11229,1000091,156314
11229,979667,199737
10282,1013353,234000
10282,1000091,156314
10282,979667,199737
10001,983478,212373
10001,994617,227693
10001,982650,201326
83,983478,212373
83,994617,227693
83,982650,201326
10013,983478,212373
10013,994617,227693
10013,982650,201326
11218,988340,172111
11218,991510,225019
11218,988579,191174
11218,984063,203033
10024,988340,172111
10024,991510,225019
10024,988579,191174
10024,984063,203033
11201,988340,172111
11201,991510,225019
11201,988579,191174
11201,984063,203033
10012,988340,172111
10012,991510,225019
10012,988579,191174
10012,984063,203033
10013,981698,200203
11216,998197,187413
11216,1005873,185052
11216,983894,203523
11233,998197,187413
11233,1005873,185052
11233,983894,203523
10012,998197,187413
10012,1005873,185052
10012,983894,203523
11233,1008226,186458
11233,1009416,244229
11233,1043002,213598
11233,980765,195773
10457,1008226,186458
10457,1009416,244229
10457,1043002,213598
10457,980765,195773
11358,1008226,186458
11358,1009416,244229
11358,1043002,213598
11358,980765,195773
10004,1008226,186458
10004,1009416,244229
10004,1043002,213598
10004,980765,195773
10472,1017874,241632
10472,1005554,179416
10472,980671,196590
10472,1001224,172560
11212,1017874,241632
11212,1005554,179416
11212,980671,196590
11212,1001224,172560
10004,1017874,241632
10004,1005554,179416
10004,980671,196590
10004,1001224,172560
11203,1017874,241632
11203,1005554,179416
11203,980671,196590
11203,1001224,172560
11212,1007676,179158
11212,990820,200020
11212,997847,189692
11212,985947,199571
10002,1007676,179158
10002,990820,200020
10002,997847,189692
10002,985947,199571
11216,1007676,179158
11216,990820,200020
11216,997847,189692
11216,985947,199571
10002,1007676,179158
10002,990820,200020
10002,997847,189692
10002,985947,199571
10472,1018623,240382
10472,1011120,254774
10472,984452,204830
10472,981863,196460
10468,1018623,240382
10468,1011120,254774
10468,984452,204830
10468,981863,196460
10012,1018623,240382
10012,1011120,254774
10012,984452,204830
10012,981863,196460
10005,1018623,240382
10005,1011120,254774
10005,984452,204830
10005,981863,196460
11212,1010445,181444
11212,974057,164979
11212,1001738,165362
11212,982300,209433
11209,1010445,181444
11209,974057,164979
11209,1001738,165362
11209,982300,209433
11234,1010445,181444
11234,974057,164979
11234,1001738,165362
11234,982300,209433
10014,1010445,181444
10014,974057,164979
10014,1001738,165362
10014,982300,209433
11210,998617,171801
11210,993319,174812
11210,988491,198198
11210,982367,197857
11210,981097,197271
11210,1002310,173104
11226,998617,171801
11226,993319,174812
11226,988491,198198
11226,982367,197857
11226,981097,197271
11226,1002310,173104
10002,998617,171801
10002,993319,174812
10002,988491,198198
10002,982367,197857
10002,981097,197271
10002,1002310,173104
10038,998617,171801
10038,993319,174812
10038,988491,198198
10038,982367,197857
10038,981097,197271
10038,1002310,173104
10005,998617,171801
10005,993319,174812
10005,988491,198198
10005,982367,197857
10005,981097,197271
10005,1002310,173104
11203,998617,171801
11203,993319,174812
11203,988491,198198
11203,982367,197857
11203,981097,197271
11203,1002310,173104
10036,987221,215694
10036,1017302,182366
10036,995980,173264
10036,982822,197316
10036,975341,165511
11208,987221,215694
11208,1017302,182366
11208,995980,173264
11208,982822,197316
11208,975341,165511
11226,987221,215694
11226,1017302,182366
11226,995980,173264
11226,982822,197316
11226,975341,165511
10038,987221,215694
10038,1017302,182366
10038,995980,173264
10038,982822,197316
10038,975341,165511
11209,987221,215694
11209,1017302,182366
11209,995980,173264
11209,982822,197316
11209,975341,165511
10474,1015927,236094
11414,1030576,177939
11414,998216,176711
11414,984615,203695
11226,1030576,177939
11226,998216,176711
11226,984615,203695
10012,1030576,177939
10012,998216,176711
10012,984615,203695
11105,1012083,221621
11105,1005569,221780
11105,984134,202485
10012,1005569,221780
10012,984134,202485
11226,995356,176168
11226,985764,213806
11226,990725,204176
11226,980497,199580
10018,995356,176168
10018,985764,213806
10018,990725,204176
10018,980497,199580
10009,995356,176168
10009,985764,213806
10009,990725,204176
10009,980497,199580
10007,995356,176168
10007,985764,213806
10007,990725,204176
10007,980497,199580
11226,995232,177023
11226,1009502,218368
11226,1046659,197817
11226,984713,203398
11103,995232,177023
11103,1009502,218368
11103,1046659,197817
11103,984713,203398
11423,995232,177023
11423,1009502,218368
11423,1046659,197817
11423,984713,203398
10012,995232,177023
10012,1009502,218368
10012,1046659,197817
10012,984713,203398
10026,998041,231228
10026,1002001,246760
10026,989007,205131
10026,981442,199546
10033,998041,231228
10033,1002001,246760
10033,989007,205131
10033,981442,199546
10009,998041,231228
10009,1002001,246760
10009,989007,205131
10009,981442,199546
10007,998041,231228
10007,1002001,246760
10007,989007,205131
10007,981442,199546
11414,1024609,182430
11414,1000489,237510
11414,984068,202387
10030,1024609,182430
10030,1000489,237510
10030,984068,202387
10013,1024609,182430
10013,1000489,237510
10013,984068,202387
11211,993254,199059
11211,1009316,175398
11211,981551,197981
11236,993254,199059
11236,1009316,175398
11236,981551,197981
10038,993254,199059
10038,1009316,175398
10038,981551,197981
11219,986286,173740
11219,996140,155295
11219,987507,205897
11219,981195,203755
11219,996327,201975
11229,986286,173740
11229,996140,155295
11229,987507,205897
11229,981195,203755
11229,996327,201975
10003,986286,173740
10003,996140,155295
10003,987507,205897
10003,981195,203755
10003,996327,201975
10013,986286,173740
10013,996140,155295
10013,987507,205897
10013,981195,203755
10013,996327,201975
11211,986286,173740
11211,996140,155295
11211,987507,205897
11211,981195,203755
11211,996327,201975
10310,951311,170436
10310,1013106,208556
10310,981319,199612
11377,951311,170436
11377,1013106,208556
11377,981319,199612
10007,951311,170436
10007,1013106,208556
10007,981319,199612
10009,988843,202641
10009,1042197,197876
11432,988843,202641
11432,1042197,197876
11358,1042882,215465
11358,1010701,217852
11377,1042882,215465
11377,1010701,217852
10039,1000349,239099
10039,999365,191140
10039,984724,203415
11216,1000349,239099
11216,999365,191140
11216,984724,203415
10012,1000349,239099
10012,999365,191140
10012,984724,203415
10472,1017429,241149
10472,998966,164071
10472,998797,191051
11210,1017429,241149
11210,998966,164071
11210,998797,191051
11216,1017429,241149
11216,998966,164071
11216,998797,191051
10003,987658,205575
10003,1032091,189164
10003,986090,211515
11419,987658,205575
11419,1032091,189164
11419,986090,211515
10001,987658,205575
10001,1032091,189164
10001,986090,211515
11104,1005779,210129
11104,985631,208828
11104,983385,203150
11104,989103,205769
10011,1005779,210129
10011,985631,208828
10011,983385,203150
10011,989103,205769
10012,1005779,210129
10012,985631,208828
10012,983385,203150
10012,989103,205769
10003,1005779,210129
10003,985631,208828
10003,983385,203150
10003,989103,205769
11229,1002184,155835
11229,987720,216313
11229,1012520,238247
11229,984229,202154
11229,988197,211351
10036,1002184,155835
10036,987720,216313
10036,1012520,238247
10036,984229,202154
10036,988197,211351
10459,1002184,155835
10459,987720,216313
10459,1012520,238247
10459,984229,202154
10459,988197,211351
10013,1002184,155835
10013,987720,216313
10013,1012520,238247
10013,984229,202154
10013,988197,211351
10016,1002184,155835
10016,987720,216313
10016,1012520,238247
10016,984229,202154
10016,988197,211351
10304,961181,164761
10304,989139,222610
10023,961181,164761
10023,989139,222610
10002,987326,200563
11373,1020556,208863
11373,1014559,239605
11373,991364,192001
11373,988192,215204
11373,981618,200862
10459,1020556,208863
10459,1014559,239605
10459,991364,192001
10459,988192,215204
10459,981618,200862
11205,1020556,208863
11205,1014559,239605
11205,991364,192001
11205,988192,215204
11205,981618,200862
10036,1020556,208863
10036,1014559,239605
10036,991364,192001
10036,988192,215204
10036,981618,200862
10013,1020556,208863
10013,1014559,239605
10013,991364,192001
10013,988192,215204
10013,981618,200862
11233,1006272,189184
11233,983161,201903
11233,1020854,250758
10013,1006272,189184
10013,983161,201903
10013,1020854,250758
10462,1006272,189184
10462,983161,201903
10462,1020854,250758
11207,1015049,182457
11207,982283,200134
11207,1001218,166805
10007,1015049,182457
10007,982283,200134
10007,1001218,166805
11210,1015049,182457
11210,982283,200134
11210,1001218,166805
10013,981825,201238
10036,987866,214721
11206,1002739,196254
11206,1002557,247203
11206,1010786,180918
10033,1002739,196254
10033,1002557,247203
10033,1010786,180918
11212,1002739,196254
11212,1002557,247203
11212,1010786,180918
11207,1009760,188742
11216,998820,187121
11216,990477,203734
11216,995704,190315
11216,989993,210396
11216,983260,197325
10009,998820,187121
10009,990477,203734
10009,995704,190315
10009,989993,210396
10009,983260,197325
11205,998820,187121
11205,990477,203734
11205,995704,190315
11205,989993,210396
11205,983260,197325
10016,998820,187121
10016,990477,203734
10016,995704,190315
10016,989993,210396
10016,983260,197325
10038,998820,187121
10038,990477,203734
10038,995704,190315
10038,989993,210396
10038,983260,197325
10456,1008799,244608
10456,990898,212017
10456,980665,197755
10016,1008799,244608
10016,990898,212017
10016,980665,197755
10006,1008799,244608
10006,990898,212017
10006,980665,197755
10031,997701,239900
10031,1001326,232474
10031,1038994,183615
10035,997701,239900
10035,1001326,232474
10035,1038994,183615
11420,997701,239900
11420,1001326,232474
11420,1038994,183615
11368,1021102,213296
11368,960727,163210
11368,996608,217700
11368,983648,202659
10304,1021102,213296
10304,960727,163210
10304,996608,217700
10304,983648,202659
10065,1021102,213296
10065,960727,163210
10065,996608,217700
10065,983648,202659
10013,1021102,213296
10013,960727,163210
10013,996608,217700
10013,983648,202659
10027,999537,232842
10027,997624,220843
10075,999537,232842
10075,997624,220843
11229,1005141,152844
11229,1015069,237227
11229,980908,201910
11229,983726,202322
10474,1005141,152844
10474,1015069,237227
10474,980908,201910
10474,983726,202322
10013,1005141,152844
10013,1015069,237227
10013,980908,201910
10013,983726,202322
10013,1005141,152844
10013,1015069,237227
10013,980908,201910
10013,983726,202322
10459,1013897,238753
10459,1012513,237861
10459,981060,195384
10459,940032,149463
10459,1013897,238753
10459,1012513,237861
10459,981060,195384
10459,940032,149463
10004,1013897,238753
10004,1012513,237861
10004,981060,195384
10004,940032,149463
10314,1013897,238753
10314,1012513,237861
10314,981060,195384
10314,940032,149463
10472,1018051,243130
10472,1001284,193892
10472,931731,154142
11206,1018051,243130
11206,1001284,193892
11206,931731,154142
10314,1018051,243130
10314,1001284,193892
10314,931731,154142
10036,988893,215661
10036,990120,202510
10036,1052520,158786
10009,988893,215661
10009,990120,202510
10009,1052520,158786
11691,988893,215661
11691,990120,202510
11691,1052520,158786
11236,1007912,175409
11236,1041589,189067
11236,984634,159636
11434,1007912,175409
11434,1041589,189067
11434,984634,159636
11214,1007912,175409
11214,1041589,189067
11214,984634,159636
10025,994059,228894
10025,1003682,250700
10025,984573,202201
10025,1004200,176181
10040,994059,228894
10040,1003682,250700
10040,984573,202201
10040,1004200,176181
10012,994059,228894
10012,1003682,250700
10012,984573,202201
10012,1004200,176181
11203,994059,228894
11203,1003682,250700
11203,984573,202201
11203,1004200,176181
10035,1001363,233670
10035,1006799,254838
10035,988916,223176
10035,986162,200104
10034,1001363,233670
10034,1006799,254838
10034,988916,223176
10034,986162,200104
10023,1001363,233670
10023,1006799,254838
10023,988916,223176
10023,986162,200104
10002,1001363,233670
10002,1006799,254838
10002,988916,223176
10002,986162,200104
10022,992962,215197
10013,984169,200953
10013,1007305,234705
10454,984169,200953
10454,1007305,234705
10472,1017779,240649
10472,993854,229237
10472,986696,200624
10472,1007044,234182
10025,1017779,240649
